seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
17,population-PCG,64,66435,48,2304,32,8,12.290948748704976,212.32568359375,61341696
17,context-PCG,64,79364,8,64,32,8,7.750452248728834,190.42822265625,1622016
17,context-PCG,64,79364,12,144,32,8,7.938908599317074,192.41064453125,3667968
17,context-PCG,64,79364,16,256,32,8,8.026943998993374,194.42041015625,6553600
17,context-PCG,64,79364,24,576,32,8,8.275495850830339,199.6220703125,14893056
17,context-PCG,64,79364,32,1024,32,8,8.776777298771776,204.54833984375,26738688
17,context-PCG,64,79364,48,2304,32,8,13.771484699100256,212.55126953125,61341696
17,population-PCG,128,149251,8,64,32,8,7.096817099954933,190.9521484375,1622016
17,population-PCG,128,149251,12,144,32,8,7.237123750383034,192.9306640625,3667968
17,population-PCG,128,149251,16,256,32,8,7.225895949522965,194.93408203125,6553600
17,population-PCG,128,149251,24,576,32,8,7.576001950656064,200.1181640625,14893056
17,population-PCG,128,149251,32,1024,32,8,7.826693498645909,205.0205078125,26738688
17,population-PCG,128,149251,48,2304,32,8,12.28987270151265,212.95458984375,61341696
17,context-PCG,128,199684,8,64,32,8,7.778813800541684,191.93310546875,1622016
17,context-PCG,128,199684,12,144,32,8,7.941499951994047,193.91552734375,3667968
17,context-PCG,128,199684,16,256,32,8,8.01777730230242,195.92529296875,6553600
17,context-PCG,128,199684,24,576,32,8,8.33818269893527,201.126953125,14893056
17,context-PCG,128,199684,32,1024,32,8,8.780097801354714,206.05322265625,26738688
17,context-PCG,128,199684,48,2304,32,8,13.776430100551806,214.05615234375,61341696
17,population-PCG,256,364035,8,64,32,8,7.061119101126678,193.96728515625,1622016
